Date;Ibirapuera;Pinheiros
30 de novembro de 2016;1208;1401
1 de dezembro de 2016;1229;1376
2 de dezembro de 2016;780;882
3 de dezembro de 2016;1611;1729
4 de dezembro de 2016;1382;1512
5 de dezembro de 2016;1575;1749
6 de dezembro de 2016;1324;1403
7 de dezembro de 2016;1357;1508
8 de dezembro de 2016;1201;1368
9 de dezembro de 2016;878;904
10 de dezembro de 2016;966;1157
11 de dezembro de 2016;933;1019
12 de dezembro de 2016;1437;1631
13 de dezembro de 2016;1245;1325
14 de dezembro de 2016;978;1126
15 de dezembro de 2016;1112;1277
16 de dezembro de 2016;922;1073
17 de dezembro de 2016;1655;1796
18 de dezembro de 2016;1021;1180
19 de dezembro de 2016;1201;1354
20 de dezembro de 2016;996;1061
21 de dezembro de 2016;1097;1273
22 de dezembro de 2016;892;994
23 de dezembro de 2016;776;821
24 de dezembro de 2016;771;872
25 de dezembro de 2016;1015;1080
26 de dezembro de 2016;912;1042
27 de dezembro de 2016;859;903
28 de dezembro de 2016;720;802
29 de dezembro de 2016;722;737
30 de dezembro de 2016;533;554
31 de dezembro de 2016;627;737
1 de janeiro de 2017;590;630
2 de janeiro de 2017;896;1013
3 de janeiro de 2017;1132;1261
4 de janeiro de 2017;1171;1294
5 de janeiro de 2017;907;1006
6 de janeiro de 2017;914;1007
7 de janeiro de 2017;2223;2297
8 de janeiro de 2017;1132;1261
9 de janeiro de 2017;1475;1608
10 de janeiro de 2017;1243;1383
11 de janeiro de 2017;1205;1237
12 de janeiro de 2017;1208;1325
13 de janeiro de 2017;1202;1282
14 de janeiro de 2017;2103;2314
15 de janeiro de 2017;1094;1193
16 de janeiro de 2017;831;886
17 de janeiro de 2017;622;632
18 de janeiro de 2017;694;728
19 de janeiro de 2017;368;451
20 de janeiro de 2017;395;373
21 de janeiro de 2017;732;772
22 de janeiro de 2017;1096;1214
23 de janeiro de 2017;1433;1503
24 de janeiro de 2017;2093;2233
25 de janeiro de 2017;1074;1182
26 de janeiro de 2017;1094;1147
27 de janeiro de 2017;1157;1241
28 de janeiro de 2017;2717;2794
29 de janeiro de 2017;1263;1349
30 de janeiro de 2017;1397;1440
31 de janeiro de 2017;929;938
1 de fevereiro de 2017;1157;1329
2 de fevereiro de 2017;1134;1217
3 de fevereiro de 2017;879;917
4 de fevereiro de 2017;2508;2643
5 de fevereiro de 2017;1079;1127
6 de fevereiro de 2017;1395;1583
7 de fevereiro de 2017;1547;1705
8 de fevereiro de 2017;1615;1825
9 de fevereiro de 2017;1363;1532
10 de fevereiro de 2017;1099;1199
11 de fevereiro de 2017;2161;2356
12 de fevereiro de 2017;1492;1620
13 de fevereiro de 2017;1637;1838
14 de fevereiro de 2017;1566;1735
15 de fevereiro de 2017;1492;1675
16 de fevereiro de 2017;1311;1446
17 de fevereiro de 2017;633;893
18 de fevereiro de 2017;1755;2369
19 de fevereiro de 2017;1354;1560
20 de fevereiro de 2017;1487;1640
21 de fevereiro de 2017;1268;1311
22 de fevereiro de 2017;1253;1544
23 de fevereiro de 2017;1017;1042
24 de fevereiro de 2017;540;711
25 de fevereiro de 2017;1174;1412
26 de fevereiro de 2017;683;941
27 de fevereiro de 2017;1475;1895
28 de fevereiro de 2017;1003;1153
1 de março de 2017;1301;1406
2 de março de 2017;962;1141
3 de março de 2017;722;982
4 de março de 2017;1576;1972
5 de março de 2017;993;1095
6 de março de 2017;1236;1301
7 de março de 2017;1175;1378
8 de março de 2017;702;1208
9 de março de 2017;1256;1439
10 de março de 2017;1156;1210
11 de março de 2017;2360;2733
12 de março de 2017;1146;1257
13 de março de 2017;1282;1526
14 de março de 2017;1740;1947
15 de março de 2017;1515;1645
16 de março de 2017;1109;1126
17 de março de 2017;536;611
18 de março de 2017;1094;1212
19 de março de 2017;1263;1438
20 de março de 2017;1427;1657
21 de março de 2017;1522;1747
22 de março de 2017;1377;1571
23 de março de 2017;1279;1537
24 de março de 2017;1003;1037
25 de março de 2017;1975;2175
26 de março de 2017;1188;1333
27 de março de 2017;1469;1615
28 de março de 2017;1464;1596
29 de março de 2017;1394;1534
30 de março de 2017;1300;1455
31 de março de 2017;927;999
1 de abril de 2017;1760;1888
2 de abril de 2017;1438;1541
3 de abril de 2017;1559;1715
4 de abril de 2017;1444;1598
5 de abril de 2017;590;674
6 de abril de 2017;809;909
7 de abril de 2017;822;923
8 de abril de 2017;1818;1998
9 de abril de 2017;1310;1457
10 de abril de 2017;1445;1587
11 de abril de 2017;1006;1158
12 de abril de 2017;980;1090
13 de abril de 2017;1034;1132
14 de abril de 2017;1143;1205
15 de abril de 2017;1437;1553
16 de abril de 2017;933;1085
17 de abril de 2017;1258;1381
18 de abril de 2017;1250;1434
19 de abril de 2017;1213;1385
20 de abril de 2017;922;1075
21 de abril de 2017;694;740
22 de abril de 2017;1348;1511
23 de abril de 2017;1292;1412
24 de abril de 2017;1418;1560
25 de abril de 2017;839;849
26 de abril de 2017;954;1181
27 de abril de 2017;1335;1612
28 de abril de 2017;689;755
29 de abril de 2017;1483;1705
30 de abril de 2017;2036;2227
1 de maio de 2017;1230;1417
2 de maio de 2017;1264;1463
3 de maio de 2017;1367;1542
4 de maio de 2017;431;484
5 de maio de 2017;866;899
6 de maio de 2017;1660;1735
7 de maio de 2017;1261;1492
8 de maio de 2017;1432;1696
9 de maio de 2017;1299;1522
10 de maio de 2017;1163;1315
11 de maio de 2017;1218;1450
12 de maio de 2017;1070;1171
13 de maio de 2017;802;940
14 de maio de 2017;1276;1442
15 de maio de 2017;1414;1485
16 de maio de 2017;1215;1359
17 de maio de 2017;920;1019
18 de maio de 2017;306;362
19 de maio de 2017;747;820
20 de maio de 2017;278;303
21 de maio de 2017;788;884
22 de maio de 2017;1330;1555
23 de maio de 2017;1255;1363
24 de maio de 2017;1326;1597
25 de maio de 2017;1273;1426
26 de maio de 2017;831;939
27 de maio de 2017;1562;1683
28 de maio de 2017;1289;1505
29 de maio de 2017;1180;1277
30 de maio de 2017;1365;1514
31 de maio de 2017;1084;1176
1 de junho de 2017;1115;1337
2 de junho de 2017;941;1050
3 de junho de 2017;1983;2346
4 de junho de 2017;683;596
5 de junho de 2017;520;665
6 de junho de 2017;1066;1185
7 de junho de 2017;1345;1444
8 de junho de 2017;897;1007
9 de junho de 2017;885;979
10 de junho de 2017;1742;1860
11 de junho de 2017;1124;1241
12 de junho de 2017;382;404
13 de junho de 2017;1051;1154
14 de junho de 2017;1275;1268
15 de junho de 2017;789;875
16 de junho de 2017;975;1016
17 de junho de 2017;1964;1970
18 de junho de 2017;1171;1263
19 de junho de 2017;839;960
20 de junho de 2017;990;1111
21 de junho de 2017;1159;1319
22 de junho de 2017;1121;1246
23 de junho de 2017;944;1097
24 de junho de 2017;1974;2104
25 de junho de 2017;1257;1386
26 de junho de 2017;1312;1493
27 de junho de 2017;1263;1473
28 de junho de 2017;1278;1482
29 de junho de 2017;1260;1379
30 de junho de 2017;556;607
1 de julho de 2017;696;765
2 de julho de 2017;1001;1083
3 de julho de 2017;1095;1162
4 de julho de 2017;1050;1204
5 de julho de 2017;1040;1233
6 de julho de 2017;947;1062
7 de julho de 2017;886;979
8 de julho de 2017;1833;1929
9 de julho de 2017;1061;1210
10 de julho de 2017;1357;1480
11 de julho de 2017;1208;1351
12 de julho de 2017;1092;1263
13 de julho de 2017;1092;1245
14 de julho de 2017;971;1047
15 de julho de 2017;1822;2002
16 de julho de 2017;1216;1341
17 de julho de 2017;702;788
18 de julho de 2017;716;838
19 de julho de 2017;1001;1104
20 de julho de 2017;1023;1163
21 de julho de 2017;927;1025
22 de julho de 2017;1894;2119
23 de julho de 2017;1217;1341
24 de julho de 2017;1327;1511
25 de julho de 2017;1349;1492
